time	V(vin)	V(vo1)	V(vo2)
2.064951126649030e-03	1.988084e-01	6.036607e-01	1.981002e-01
2.076111840934744e-03	2.302472e-01	6.424503e-01	2.295331e-01
2.087272555220459e-03	2.604856e-01	6.789602e-01	2.597704e-01
2.098433269506173e-03	2.895235e-01	7.131904e-01	2.888122e-01
2.109593983791887e-03	3.173610e-01	7.451409e-01	3.166584e-01
2.120754698077601e-03	3.439980e-01	7.748117e-01	3.433091e-01
2.139588403434743e-03	3.853241e-01	8.209843e-01	3.846630e-01
2.158422108791886e-03	4.203004e-01	8.600207e-01	4.196720e-01
2.177255814149028e-03	4.489268e-01	8.919211e-01	4.483362e-01
2.196089519506171e-03	4.712033e-01	9.166854e-01	4.706554e-01
2.214923224863313e-03	4.871300e-01	9.343137e-01	4.866299e-01
2.233756930220456e-03	4.967068e-01	9.448059e-01	4.962594e-01
2.252590635577598e-03	4.999337e-01	9.481620e-01	4.995441e-01
2.270726796291883e-03	4.951150e-01	9.431990e-01	4.947831e-01
2.288862957006169e-03	4.844446e-01	9.316447e-01	4.841692e-01
2.306999117720454e-03	4.679225e-01	9.134992e-01	4.677023e-01
2.325135278434739e-03	4.455487e-01	8.887624e-01	4.453826e-01
2.343271439149025e-03	4.173232e-01	8.574344e-01	4.172099e-01
2.361407599863310e-03	3.832459e-01	8.195151e-01	3.831843e-01
2.379543760577595e-03	3.433170e-01	7.750046e-01	3.433058e-01
2.390704474863309e-03	3.166361e-01	7.453387e-01	3.166544e-01
2.401865189149023e-03	2.887587e-01	7.134161e-01	2.888025e-01
2.413025903434737e-03	2.596848e-01	6.792369e-01	2.597501e-01
2.424186617720452e-03	2.294145e-01	6.428010e-01	2.294972e-01
2.435347332006166e-03	1.979478e-01	6.041083e-01	1.980438e-01
2.446508046291880e-03	1.652847e-01	5.631590e-01	1.653899e-01
2.457668760577594e-03	1.314251e-01	5.199530e-01	1.315355e-01
2.472317198077593e-03	8.653023e-02	4.562581e-01	8.661789e-02
2.477200010577593e-03	7.138354e-02	4.324540e-01	7.145002e-02
2.482082823077593e-03	5.616965e-02	4.064621e-01	5.620012e-02
2.486965635577593e-03	4.090291e-02	3.769397e-01	4.086671e-02
2.491848448077593e-03	2.559766e-02	3.416851e-01	2.543020e-02
2.495470444400255e-03	1.422810e-02	3.083802e-01	1.385411e-02
2.498183504725868e-03	5.706565e-03	2.745636e-01	5.012332e-03
2.500361921751035e-03	-1.137010e-03	2.354139e-01	-2.334773e-03
2.502523926731424e-03	-7.928818e-03	1.766342e-01	-1.000205e-02
2.504736405719168e-03	-1.487766e-02	8.671314e-02	-1.825256e-02
2.506695299277315e-03	-2.102770e-02	-2.631334e-02	-2.569890e-02
2.508612511296983e-03	-2.704380e-02	-1.670741e-01	-3.258980e-02
2.509409433431634e-03	-2.954339e-02	-2.344943e-01	-3.462433e-02
2.509889568735621e-03	-3.104901e-02	-2.777459e-01	-3.465386e-02
2.510254591567301e-03	-3.219346e-02	-3.102416e-01	-3.306869e-02
2.510660807599655e-03	-3.346688e-02	-3.444810e-01	-2.902983e-02
2.510947944370466e-03	-3.436686e-02	-3.664797e-01	-2.442456e-02
2.511231973041487e-03	-3.525700e-02	-3.854404e-01	-1.830540e-02
2.511558306665762e-03	-3.627958e-02	-4.039972e-01	-1.018982e-02
2.511825190717374e-03	-3.711576e-02	-4.166541e-01	-3.259354e-03
2.512090293202995e-03	-3.794625e-02	-4.270228e-01	3.405481e-03
2.512353297825462e-03	-3.877007e-02	-4.354325e-01	9.360001e-03
