time	V(vin)	V(vo1)	V(vo2)
1.004276871865498e-03	1.343457e-01	4.733033e-01	1.499315e-01
1.004348431710600e-03	1.365930e-01	4.861543e-01	1.497436e-01
1.004424365055612e-03	1.389776e-01	4.977089e-01	1.494070e-01
1.004511251009560e-03	1.417062e-01	5.087176e-01	1.490250e-01
1.004569017270984e-03	1.435202e-01	5.148221e-01	1.488820e-01
1.004630032175076e-03	1.454362e-01	5.202290e-01	1.489322e-01
1.004703761770297e-03	1.477515e-01	5.258277e-01	1.492983e-01
1.004784397268708e-03	1.502836e-01	5.310981e-01	1.500920e-01
1.004873875056662e-03	1.530934e-01	5.361721e-01	1.514596e-01
1.004992230609031e-03	1.568098e-01	5.421183e-01	1.539029e-01
1.005134093815667e-03	1.612643e-01	5.486264e-01	1.574720e-01
1.005282377233325e-03	1.659203e-01	5.550210e-01	1.616867e-01
1.005461375175025e-03	1.715405e-01	5.624565e-01	1.671064e-01
1.005675569006510e-03	1.782655e-01	5.711617e-01	1.737538e-01
1.006792518470214e-03	2.133285e-01	6.149728e-01	2.086806e-01
1.007900673329730e-03	2.481050e-01	6.567813e-01	2.433591e-01
1.010116983048763e-03	3.176204e-01	7.376424e-01	3.127329e-01
1.013705608867779e-03	4.300424e-01	8.643164e-01	4.250087e-01
1.017501082302797e-03	5.487053e-01	9.944780e-01	5.435613e-01
1.022383894802797e-03	7.008948e-01	1.158080e+00	6.956431e-01
1.032149519802797e-03	1.003152e+00	1.477101e+00	9.978009e-01
1.042612689445653e-03	1.326036e+00	1.811405e+00	1.320636e+00
1.053075859088510e-03	1.639916e+00	2.135365e+00	1.634494e+00
1.063539028731367e-03	1.944791e+00	2.448981e+00	1.939374e+00
1.074002198374224e-03	2.240662e+00	2.752252e+00	2.235276e+00
1.084465368017081e-03	2.527529e+00	3.045179e+00	2.522201e+00
1.094928537659938e-03	2.805391e+00	3.327762e+00	2.800148e+00
1.105391707302795e-03	3.074250e+00	3.600000e+00	3.069118e+00
1.122132778731366e-03	3.479265e+00	4.010520e+00	3.474362e+00
1.138873850159937e-03	3.837453e+00	4.373528e+00	3.832822e+00
1.155614921588508e-03	4.148813e+00	4.689024e+00	4.144499e+00
1.172355993017079e-03	4.413345e+00	4.957009e+00	4.409392e+00
1.189097064445650e-03	4.631049e+00	5.177483e+00	4.627502e+00
1.205838135874221e-03	4.801925e+00	5.350445e+00	4.798828e+00
1.222579207302792e-03	4.925974e+00	5.475895e+00	4.923370e+00
1.243505546588506e-03	4.989492e+00	5.540891e+00	4.987560e+00
1.264431885874220e-03	4.971788e+00	5.523760e+00	4.970525e+00
1.285358225159934e-03	4.872860e+00	5.424502e+00	4.872266e+00
1.306284564445648e-03	4.692709e+00	5.243116e+00	4.692783e+00
1.327210903731362e-03	4.431335e+00	4.979603e+00	4.432076e+00
1.348137243017076e-03	4.088738e+00	4.633963e+00	4.090144e+00
1.369063582302789e-03	3.664918e+00	4.206195e+00	3.666989e+00
1.380921841231360e-03	3.397306e+00	3.936077e+00	3.399722e+00
1.392780100159932e-03	3.115000e+00	3.650245e+00	3.117740e+00
1.404638359088503e-03	2.818001e+00	3.348700e+00	2.821043e+00
1.416496618017074e-03	2.506308e+00	3.031440e+00	2.509631e+00
1.428354876945645e-03	2.179921e+00	2.698467e+00	2.183503e+00
1.440213135874216e-03	1.838840e+00	2.349780e+00	1.842660e+00
1.452071394802788e-03	1.483066e+00	1.985380e+00	1.487101e+00
1.456256662659930e-03	1.356779e+00	1.855612e+00	1.360884e+00
1.460441930517073e-03	1.229775e+00	1.724291e+00	1.233941e+00
1.464627198374216e-03	1.102054e+00	1.591414e+00	1.106274e+00
1.468812466231359e-03	9.736153e-01	1.456984e+00	9.778820e-01
1.472997734088501e-03	8.444597e-01	1.320998e+00	8.487648e-01
1.477183001945644e-03	7.145869e-01	1.183459e+00	7.189227e-01
1.481368269802787e-03	5.839970e-01	1.044364e+00	5.883555e-01
