time	V(vin)	V(vo1)	V(vo2)
1.266031157466577e-03	-3.974103e+00	-8.540726e+00	3.977229e+00
1.286259952109433e-03	-3.893558e+00	-8.380709e+00	3.902255e+00
1.306488746752290e-03	-3.752277e+00	-8.098339e+00	3.766380e+00
1.326717541395147e-03	-3.550259e+00	-7.693619e+00	3.569606e+00
1.346946336038004e-03	-3.287504e+00	-7.166547e+00	3.311932e+00
1.367175130680860e-03	-2.964013e+00	-6.517123e+00	2.993359e+00
1.379033389609431e-03	-2.752466e+00	-6.092256e+00	2.784396e+00
1.390891648538003e-03	-2.528943e+00	-5.642429e+00	2.563279e+00
1.402749907466574e-03	-2.293445e+00	-5.167642e+00	2.330008e+00
1.414608166395145e-03	-2.045971e+00	-4.667897e+00	2.084581e+00
1.426466425323716e-03	-1.786521e+00	-4.143191e+00	1.827000e+00
1.438324684252287e-03	-1.515095e+00	-3.593526e+00	1.557264e+00
1.450182943180858e-03	-1.231694e+00	-3.018902e+00	1.275374e+00
1.455065755680858e-03	-1.114096e+00	-2.780229e+00	1.158298e+00
1.459948568180858e-03	-9.957292e-01	-2.538833e+00	1.040472e+00
1.464831380680858e-03	-8.765947e-01	-2.294713e+00	9.218963e-01
1.469714193180858e-03	-7.566924e-01	-2.047870e+00	8.025700e-01
1.474597005680858e-03	-6.360222e-01	-1.798303e+00	6.824936e-01
1.479479818180858e-03	-5.145840e-01	-1.546013e+00	5.616670e-01
1.484362630680858e-03	-3.923779e-01	-1.291000e+00	4.400902e-01
1.489245443180858e-03	-2.700858e-01	-1.029929e+00	3.189019e-01
1.494128255680858e-03	-1.475396e-01	-7.556827e-01	1.991239e-01
1.499011068180857e-03	-2.485441e-02	-4.565783e-01	8.485297e-02
1.500384999491330e-03	9.676083e-03	-3.544116e-01	5.996593e-02
1.501209227383883e-03	3.039091e-02	-2.727635e-01	5.435469e-02
1.501869857699299e-03	4.699357e-02	-1.878208e-01	5.866464e-02
1.502222954728250e-03	5.586713e-02	-1.319440e-01	6.519254e-02
1.502459671769856e-03	6.181583e-02	-8.832427e-02	7.143240e-02
1.502727277909018e-03	6.854062e-02	-3.359494e-02	7.934535e-02
1.503008891725292e-03	7.561719e-02	2.963954e-02	8.807442e-02
1.503388635914579e-03	8.515927e-02	1.237268e-01	1.000913e-01
1.503930116794367e-03	9.876457e-02	2.684666e-01	1.169835e-01
1.504181027757919e-03	1.050686e-01	3.378809e-01	1.241302e-01
1.504346878947112e-03	1.092354e-01	3.820205e-01	1.277190e-01
1.504541092732976e-03	1.141146e-01	4.287893e-01	1.303245e-01
1.504610931376989e-03	1.158691e-01	4.434276e-01	1.307218e-01
1.504670824652907e-03	1.173738e-01	4.541056e-01	1.307034e-01
1.504752110650341e-03	1.194158e-01	4.665384e-01	1.304533e-01
1.504844597384431e-03	1.217392e-01	4.784089e-01	1.300727e-01
1.504925342820572e-03	1.237676e-01	4.869601e-01	1.297909e-01
1.504991371604540e-03	1.254263e-01	4.927355e-01	1.297025e-01
1.505065362214910e-03	1.272849e-01	4.981375e-01	1.298478e-01
1.505158926872400e-03	1.296353e-01	5.039181e-01	1.303966e-01
1.505248155498052e-03	1.318766e-01	5.086135e-01	1.313136e-01
1.505360865051240e-03	1.347078e-01	5.137300e-01	1.329861e-01
1.505506419959912e-03	1.383638e-01	5.196191e-01	1.357156e-01
1.505656198241726e-03	1.421258e-01	5.251860e-01	1.389737e-01
