Freq.	V(vo2)
4.46683592150962e+00	(1.20400927664786e+01dB,1.79998192716527e+02°)
4.57088189614874e+00	(1.20400927663734e+01dB,1.79998150619487e+02°)
4.67735141287197e+00	(1.20400927662632e+01dB,1.79998107541881e+02°)
4.78630092322637e+00	(1.20400927661479e+01dB,1.79998063460868e+02°)
4.89778819368445e+00	(1.20400927660271e+01dB,1.79998018353077e+02°)
5.01187233627271e+00	(1.20400927659006e+01dB,1.79997972194591e+02°)
5.12861383991364e+00	(1.20400927657682e+01dB,1.79997924960935e+02°)
5.24807460249771e+00	(1.20400927656295e+01dB,1.79997876627066e+02°)
5.37031796370252e+00	(1.20400927654843e+01dB,1.79997827167357e+02°)
5.49540873857623e+00	(1.20400927653323e+01dB,1.79997776555583e+02°)
5.62341325190348e+00	(1.20400927651730e+01dB,1.79997724764909e+02°)
5.75439937337156e+00	(1.20400927650063e+01dB,1.79997671767876e+02°)
5.88843655355588e+00	(1.20400927648317e+01dB,1.79997617536383e+02°)
6.02559586074356e+00	(1.20400927646489e+01dB,1.79997562041676e+02°)
6.16595001861481e+00	(1.20400927644575e+01dB,1.79997505254332e+02°)
6.30957344480192e+00	(1.20400927642571e+01dB,1.79997447144240e+02°)
6.45654229034654e+00	(1.20400927640472e+01dB,1.79997387680591e+02°)
6.60693448007594e+00	(1.20400927638274e+01dB,1.79997326831855e+02°)
6.76082975391980e+00	(1.20400927635973e+01dB,1.79997264565770e+02°)
6.91830970918935e+00	(1.20400927633563e+01dB,1.79997200849322e+02°)
7.07945784384136e+00	(1.20400927631040e+01dB,1.79997135648727e+02°)
7.24435960074988e+00	(1.20400927628397e+01dB,1.79997068929415e+02°)
7.41310241300916e+00	(1.20400927625630e+01dB,1.79997000656010e+02°)
7.58577575029182e+00	(1.20400927622733e+01dB,1.79996930792314e+02°)
7.76247116628690e+00	(1.20400927619699e+01dB,1.79996859301283e+02°)
7.94328234724279e+00	(1.20400927616522e+01dB,1.79996786145012e+02°)
8.12830516164097e+00	(1.20400927613196e+01dB,1.79996711284713e+02°)
8.31763771102669e+00	(1.20400927609713e+01dB,1.79996634680693e+02°)
8.51138038202374e+00	(1.20400927606065e+01dB,1.79996556292336e+02°)
8.70963589956078e+00	(1.20400927602246e+01dB,1.79996476078080e+02°)
8.91250938133743e+00	(1.20400927598247e+01dB,1.79996393995394e+02°)
9.12010839355907e+00	(1.20400927594059e+01dB,1.79996310000757e+02°)
9.33254300796988e+00	(1.20400927589674e+01dB,1.79996224049633e+02°)
9.54992586021433e+00	(1.20400927585082e+01dB,1.79996136096450e+02°)
9.77237220955808e+00	(1.20400927580274e+01dB,1.79996046094575e+02°)
9.99999999999997e+00	(1.20400927575239e+01dB,1.79995953996287e+02°)
1.02329299228075e+01	(1.20400927569967e+01dB,1.79995859752753e+02°)
1.04712854805090e+01	(1.20400927564446e+01dB,1.79995763314006e+02°)
1.07151930523760e+01	(1.20400927558665e+01dB,1.79995664628912e+02°)
1.09647819614318e+01	(1.20400927552612e+01dB,1.79995563645147e+02°)
1.12201845430196e+01	(1.20400927546274e+01dB,1.79995460309168e+02°)
1.14815362149688e+01	(1.20400927539636e+01dB,1.79995354566185e+02°)
1.17489755493953e+01	(1.20400927532686e+01dB,1.79995246360131e+02°)
1.20226443461741e+01	(1.20400927525409e+01dB,1.79995135633634e+02°)
1.23026877081238e+01	(1.20400927517788e+01dB,1.79995022327986e+02°)
1.25892541179416e+01	(1.20400927509808e+01dB,1.79994906383111e+02°)
1.28824955169313e+01	(1.20400927501452e+01dB,1.79994787737532e+02°)
1.31825673855640e+01	(1.20400927492703e+01dB,1.79994666328343e+02°)
1.34896288259165e+01	(1.20400927483541e+01dB,1.79994542091170e+02°)
1.38038426460288e+01	(1.20400927473947e+01dB,1.79994414960142e+02°)
1.41253754462275e+01	(1.20400927463901e+01dB,1.79994284867852e+02°)
1.44543977074592e+01	(1.20400927453382e+01dB,1.79994151745324e+02°)
1.47910838816820e+01	(1.20400927442367e+01dB,1.79994015521973e+02°)
1.51356124843620e+01	(1.20400927430833e+01dB,1.79993876125573e+02°)
1.54881661891248e+01	(1.20400927418755e+01dB,1.79993733482214e+02°)
1.58489319246111e+01	(1.20400927406108e+01dB,1.79993587516264e+02°)
1.62181009735892e+01	(1.20400927392865e+01dB,1.79993438150330e+02°)
1.65958690743755e+01	(1.20400927378998e+01dB,1.79993285305217e+02°)
1.69824365246174e+01	(1.20400927364477e+01dB,1.79993128899883e+02°)
1.73780082874937e+01	(1.20400927349272e+01dB,1.79992968851402e+02°)
1.77827941003892e+01	(1.20400927333351e+01dB,1.79992805074913e+02°)
1.81970085860998e+01	(1.20400927316679e+01dB,1.79992637483579e+02°)
1.86208713666286e+01	(1.20400927299221e+01dB,1.79992465988541e+02°)
1.90546071796324e+01	(1.20400927280940e+01dB,1.79992290498871e+02°)
1.94984459975804e+01	(1.20400927261798e+01dB,1.79992110921522e+02°)
1.99526231496887e+01	(1.20400927241755e+01dB,1.79991927161278e+02°)
2.04173794466952e+01	(1.20400927220766e+01dB,1.79991739120709e+02°)
2.08929613085403e+01	(1.20400927198788e+01dB,1.79991546700113e+02°)
2.13796208950222e+01	(1.20400927175774e+01dB,1.79991349797465e+02°)
2.18776162394954e+01	(1.20400927151676e+01dB,1.79991148308365e+02°)
2.23872113856833e+01	(1.20400927126441e+01dB,1.79990942125981e+02°)
2.29086765276776e+01	(1.20400927100018e+01dB,1.79990731140993e+02°)
2.34422881531991e+01	(1.20400927072349e+01dB,1.79990515241533e+02°)
2.39883291901948e+01	(1.20400927043377e+01dB,1.79990294313129e+02°)
2.45470891568502e+01	(1.20400927013039e+01dB,1.79990068238641e+02°)
