Freq.	V(vo)
9.12010839355905e+01	(1.51340317747458e+01dB,1.79695274297445e+02°)
9.33254300796986e+01	(1.51340260956966e+01dB,1.79688176458606e+02°)
9.54992586021431e+01	(1.51340201490101e+01dB,1.79680913299488e+02°)
9.77237220955805e+01	(1.51340139220735e+01dB,1.79673480969975e+02°)
9.99999999999995e+01	(1.51340074016801e+01dB,1.79665875530321e+02°)
1.02329299228075e+02	(1.51340005740005e+01dB,1.79658092949061e+02°)
1.04712854805089e+02	(1.51339934245537e+01dB,1.79650129100887e+02°)
1.07151930523760e+02	(1.51339859381765e+01dB,1.79641979764455e+02°)
1.09647819614318e+02	(1.51339780989911e+01dB,1.79633640620162e+02°)
1.12201845430196e+02	(1.51339698903713e+01dB,1.79625107247857e+02°)
1.14815362149688e+02	(1.51339612949079e+01dB,1.79616375124505e+02°)
1.17489755493952e+02	(1.51339522943710e+01dB,1.79607439621795e+02°)
1.20226443461741e+02	(1.51339428696719e+01dB,1.79598296003695e+02°)
1.23026877081237e+02	(1.51339330008223e+01dB,1.79588939423949e+02°)
1.25892541179416e+02	(1.51339226668922e+01dB,1.79579364923515e+02°)
1.28824955169313e+02	(1.51339118459652e+01dB,1.79569567427944e+02°)
1.31825673855640e+02	(1.51339005150927e+01dB,1.79559541744702e+02°)
1.34896288259165e+02	(1.51338886502442e+01dB,1.79549282560427e+02°)
1.38038426460288e+02	(1.51338762262574e+01dB,1.79538784438120e+02°)
1.41253754462275e+02	(1.51338632167842e+01dB,1.79528041814279e+02°)
1.44543977074592e+02	(1.51338495942351e+01dB,1.79517048995958e+02°)
1.47910838816820e+02	(1.51338353297209e+01dB,1.79505800157767e+02°)
1.51356124843620e+02	(1.51338203929911e+01dB,1.79494289338794e+02°)
1.54881661891247e+02	(1.51338047523700e+01dB,1.79482510439462e+02°)
1.58489319246110e+02	(1.51337883746894e+01dB,1.79470457218315e+02°)
1.62181009735892e+02	(1.51337712252187e+01dB,1.79458123288722e+02°)
1.65958690743755e+02	(1.51337532675909e+01dB,1.79445502115515e+02°)
1.69824365246173e+02	(1.51337344637258e+01dB,1.79432587011543e+02°)
1.73780082874936e+02	(1.51337147737490e+01dB,1.79419371134150e+02°)
1.77827941003891e+02	(1.51336941559079e+01dB,1.79405847481569e+02°)
1.81970085860997e+02	(1.51336725664828e+01dB,1.79392008889239e+02°)
1.86208713666286e+02	(1.51336499596944e+01dB,1.79377848026033e+02°)
1.90546071796323e+02	(1.51336262876071e+01dB,1.79363357390400e+02°)
1.94984459975803e+02	(1.51336015000268e+01dB,1.79348529306419e+02°)
1.99526231496887e+02	(1.51335755443956e+01dB,1.79333355919767e+02°)
2.04173794466952e+02	(1.51335483656793e+01dB,1.79317829193588e+02°)
2.08929613085403e+02	(1.51335199062518e+01dB,1.79301940904272e+02°)
2.13796208950222e+02	(1.51334901057727e+01dB,1.79285682637137e+02°)
2.18776162394954e+02	(1.51334589010595e+01dB,1.79269045782014e+02°)
2.23872113856832e+02	(1.51334262259536e+01dB,1.79252021528730e+02°)
2.29086765276776e+02	(1.51333920111809e+01dB,1.79234600862486e+02°)
2.34422881531991e+02	(1.51333561842045e+01dB,1.79216774559138e+02°)
2.39883291901947e+02	(1.51333186690715e+01dB,1.79198533180360e+02°)
2.45470891568501e+02	(1.51332793862519e+01dB,1.79179867068710e+02°)
2.51188643150956e+02	(1.51332382524709e+01dB,1.79160766342571e+02°)
2.57039578276885e+02	(1.51331951805319e+01dB,1.79141220890994e+02°)
2.63026799189536e+02	(1.51331500791328e+01dB,1.79121220368404e+02°)
2.69153480392690e+02	(1.51331028526721e+01dB,1.79100754189213e+02°)
2.75422870333815e+02	(1.51330534010473e+01dB,1.79079811522284e+02°)
2.81838293126443e+02	(1.51330016194425e+01dB,1.79058381285296e+02°)
2.88403150312659e+02	(1.51329473981075e+01dB,1.79036452138963e+02°)
2.95120922666637e+02	(1.51328906221252e+01dB,1.79014012481141e+02°)
3.01995172040200e+02	(1.51328311711686e+01dB,1.78991050440789e+02°)
3.09029543251357e+02	(1.51327689192468e+01dB,1.78967553871805e+02°)
3.16227766016836e+02	(1.51327037344385e+01dB,1.78943510346722e+02°)
3.23593656929626e+02	(1.51326354786133e+01dB,1.78918907150268e+02°)
3.31131121482589e+02	(1.51325640071396e+01dB,1.78893731272777e+02°)
3.38844156139200e+02	(1.51324891685796e+01dB,1.78867969403459e+02°)
3.46736850452529e+02	(1.51324108043689e+01dB,1.78841607923529e+02°)
3.54813389233573e+02	(1.51323287484819e+01dB,1.78814632899171e+02°)
3.63078054770099e+02	(1.51322428270815e+01dB,1.78787030074362e+02°)
3.71535229097170e+02	(1.51321528581518e+01dB,1.78758784863531e+02°)
3.80189396320558e+02	(1.51320586511142e+01dB,1.78729882344067e+02°)
3.89045144994278e+02	(1.51319600064256e+01dB,1.78700307248657e+02°)
3.98107170553494e+02	(1.51318567151570e+01dB,1.78670043957468e+02°)
4.07380277804110e+02	(1.51317485585534e+01dB,1.78639076490151e+02°)
4.16869383470332e+02	(1.51316353075724e+01dB,1.78607388497685e+02°)
4.26579518801589e+02	(1.51315167224017e+01dB,1.78574963254042e+02°)
4.36515832240163e+02	(1.51313925519539e+01dB,1.78541783647676e+02°)
4.46683592150960e+02	(1.51312625333374e+01dB,1.78507832172837e+02°)
4.57088189614872e+02	(1.51311263913034e+01dB,1.78473090920700e+02°)
4.67735141287195e+02	(1.51309838376662e+01dB,1.78437541570309e+02°)
4.78630092322635e+02	(1.51308345706972e+01dB,1.78401165379336e+02°)
4.89778819368442e+02	(1.51306782744900e+01dB,1.78363943174650e+02°)
5.01187233627268e+02	(1.51305146182970e+01dB,1.78325855342695e+02°)
